State,District,Year,Month,Hour,Weather_Condition,Road_Type,Vehicle_Type,Cause_of_Accident,Accident_Severity
Madhya Pradesh,Nagpur,2022,10,3,Foggy,National Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Uttar Pradesh,Chennai,2020,8,2,Foggy,Rural Road,Auto Rickshaw,Overspeeding,Minor Injury
Andhra Pradesh,Nagpur,2021,5,18,Cloudy,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Rajasthan,Kochi,2022,9,8,Cloudy,National Highway,Auto Rickshaw,Poor Road Condition,Grievous Injury
Madhya Pradesh,Jaipur,2021,6,7,Rainy,Rural Road,Auto Rickshaw,Poor Road Condition,Minor Injury
Kerala,Pune,2023,11,6,Clear,Urban Road,Truck,Signal Jumping,Fatal
Tamil Nadu,Bhopal,2021,10,6,Cloudy,National Highway,Bus,Overspeeding,Minor Injury
Madhya Pradesh,Bhopal,2023,2,3,Rainy,Urban Road,Bus,Mechanical Failure,Minor Injury
Andhra Pradesh,Chennai,2020,1,18,Clear,Urban Road,Two-Wheeler,Wrong Side Driving,Minor Injury
Rajasthan,Bhopal,2021,1,11,Foggy,Urban Road,Car,Overspeeding,Grievous Injury
Uttar Pradesh,Kochi,2019,12,19,Foggy,Rural Road,Truck,Overspeeding,Fatal
Andhra Pradesh,Hyderabad,2017,12,5,Cloudy,Urban Road,Auto Rickshaw,Drunk Driving,Minor Injury
Andhra Pradesh,Chennai,2020,9,11,Clear,National Highway,Truck,Overspeeding,Fatal
Tamil Nadu,Nagpur,2017,1,19,Rainy,Urban Road,Car,Overspeeding,Minor Injury
Gujarat,Ahmedabad,2019,3,3,Cloudy,State Highway,Truck,Mechanical Failure,Minor Injury
Rajasthan,Bengaluru,2018,12,1,Rainy,State Highway,Car,Overspeeding,Grievous Injury
Karnataka,Kochi,2018,2,14,Clear,State Highway,Car,Drunk Driving,Fatal
Andhra Pradesh,Nagpur,2022,12,22,Cloudy,Urban Road,Car,Drunk Driving,Grievous Injury
Gujarat,Hyderabad,2018,4,5,Clear,National Highway,Car,Poor Road Condition,Minor Injury
Karnataka,Ahmedabad,2020,1,17,Clear,National Highway,Car,Drunk Driving,Minor Injury
Rajasthan,Bhopal,2018,1,20,Clear,Urban Road,Auto Rickshaw,Overspeeding,Minor Injury
Maharashtra,Hyderabad,2020,4,21,Rainy,Urban Road,Truck,Poor Road Condition,Grievous Injury
Kerala,Chennai,2020,4,4,Foggy,Rural Road,Bus,Signal Jumping,Minor Injury
Gujarat,Mumbai,2017,7,3,Cloudy,Urban Road,Bus,Signal Jumping,Fatal
Telangana,Mumbai,2018,8,10,Rainy,State Highway,Auto Rickshaw,Mechanical Failure,Fatal
Maharashtra,Bhopal,2021,8,10,Clear,Rural Road,Two-Wheeler,Signal Jumping,Fatal
Kerala,Mumbai,2023,8,8,Rainy,Rural Road,Car,Mechanical Failure,Minor Injury
Tamil Nadu,Mumbai,2018,12,2,Clear,Urban Road,Truck,Mechanical Failure,Fatal
Madhya Pradesh,Nagpur,2018,9,10,Clear,Urban Road,Car,Poor Road Condition,Minor Injury
Uttar Pradesh,Nagpur,2018,1,1,Clear,Rural Road,Car,Drunk Driving,Minor Injury
Telangana,Bengaluru,2022,9,8,Clear,Rural Road,Bus,Wrong Side Driving,Minor Injury
Tamil Nadu,Jaipur,2021,10,23,Rainy,Rural Road,Car,Mechanical Failure,Minor Injury
Rajasthan,Bhopal,2021,8,9,Clear,Rural Road,Truck,Overspeeding,Minor Injury
Tamil Nadu,Mumbai,2020,1,10,Rainy,Rural Road,Truck,Drunk Driving,Minor Injury
Madhya Pradesh,Bengaluru,2021,7,2,Rainy,National Highway,Bus,Overspeeding,Minor Injury
Rajasthan,Bhopal,2020,9,16,Foggy,Rural Road,Auto Rickshaw,Overspeeding,Minor Injury
Telangana,Mumbai,2023,4,10,Rainy,Rural Road,Bus,Signal Jumping,Grievous Injury
Madhya Pradesh,Kochi,2017,9,16,Foggy,National Highway,Bus,Overspeeding,Grievous Injury
Karnataka,Pune,2020,1,18,Foggy,State Highway,Car,Poor Road Condition,Minor Injury
Uttar Pradesh,Kochi,2018,9,3,Foggy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Telangana,Ahmedabad,2019,6,1,Rainy,State Highway,Auto Rickshaw,Overspeeding,Grievous Injury
Karnataka,Bhopal,2019,4,23,Foggy,State Highway,Auto Rickshaw,Overspeeding,Minor Injury
Kerala,Jaipur,2022,12,13,Cloudy,Urban Road,Auto Rickshaw,Signal Jumping,Fatal
Telangana,Ahmedabad,2018,12,14,Clear,Urban Road,Car,Overspeeding,Grievous Injury
Kerala,Bengaluru,2020,5,2,Rainy,Rural Road,Bus,Mechanical Failure,Minor Injury
Rajasthan,Bengaluru,2018,7,19,Clear,Rural Road,Car,Mechanical Failure,Minor Injury
Karnataka,Mumbai,2022,10,21,Rainy,State Highway,Truck,Overspeeding,Minor Injury
Uttar Pradesh,Ahmedabad,2021,4,12,Foggy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Madhya Pradesh,Mumbai,2020,8,21,Cloudy,National Highway,Two-Wheeler,Poor Road Condition,Grievous Injury
Andhra Pradesh,Bhopal,2023,3,12,Foggy,National Highway,Car,Poor Road Condition,Grievous Injury
Tamil Nadu,Bengaluru,2018,2,17,Rainy,National Highway,Bus,Mechanical Failure,Fatal
Maharashtra,Pune,2021,1,21,Foggy,State Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Uttar Pradesh,Bengaluru,2022,6,19,Cloudy,National Highway,Truck,Drunk Driving,Grievous Injury
Karnataka,Nagpur,2021,2,20,Clear,Rural Road,Truck,Poor Road Condition,Fatal
Andhra Pradesh,Hyderabad,2020,8,6,Clear,State Highway,Two-Wheeler,Drunk Driving,Grievous Injury
Uttar Pradesh,Jaipur,2022,11,22,Foggy,Urban Road,Bus,Wrong Side Driving,Minor Injury
Karnataka,Ahmedabad,2022,10,15,Rainy,State Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Gujarat,Mumbai,2022,4,15,Rainy,Urban Road,Two-Wheeler,Poor Road Condition,Minor Injury
Gujarat,Hyderabad,2017,9,21,Clear,Urban Road,Bus,Poor Road Condition,Minor Injury
Kerala,Hyderabad,2022,4,5,Cloudy,State Highway,Auto Rickshaw,Overspeeding,Grievous Injury
Uttar Pradesh,Kochi,2017,4,5,Foggy,National Highway,Car,Mechanical Failure,Minor Injury
Gujarat,Chennai,2021,12,3,Foggy,Rural Road,Bus,Drunk Driving,Minor Injury
Karnataka,Kochi,2023,8,2,Clear,State Highway,Truck,Signal Jumping,Fatal
Kerala,Kochi,2017,12,0,Rainy,National Highway,Bus,Wrong Side Driving,Grievous Injury
Karnataka,Jaipur,2021,8,2,Foggy,Urban Road,Bus,Overspeeding,Minor Injury
Kerala,Nagpur,2017,5,18,Rainy,Urban Road,Bus,Drunk Driving,Minor Injury
Uttar Pradesh,Bengaluru,2021,3,8,Rainy,Urban Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Andhra Pradesh,Kochi,2021,12,13,Clear,Urban Road,Auto Rickshaw,Signal Jumping,Grievous Injury
Madhya Pradesh,Bhopal,2023,2,18,Rainy,State Highway,Car,Poor Road Condition,Minor Injury
Telangana,Bengaluru,2022,9,23,Cloudy,Rural Road,Car,Drunk Driving,Minor Injury
Andhra Pradesh,Nagpur,2023,9,23,Cloudy,Urban Road,Auto Rickshaw,Mechanical Failure,Grievous Injury
Rajasthan,Mumbai,2023,5,18,Clear,National Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Karnataka,Chennai,2022,8,12,Foggy,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Rajasthan,Bengaluru,2021,7,21,Rainy,Rural Road,Bus,Wrong Side Driving,Minor Injury
Andhra Pradesh,Ahmedabad,2022,3,15,Cloudy,Rural Road,Bus,Mechanical Failure,Minor Injury
Kerala,Jaipur,2021,12,7,Clear,Rural Road,Truck,Wrong Side Driving,Minor Injury
Telangana,Hyderabad,2022,5,23,Clear,Urban Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Telangana,Mumbai,2019,9,15,Rainy,State Highway,Auto Rickshaw,Poor Road Condition,Fatal
Maharashtra,Nagpur,2017,4,8,Clear,Urban Road,Car,Signal Jumping,Grievous Injury
Telangana,Kochi,2023,3,8,Foggy,Urban Road,Car,Mechanical Failure,Minor Injury
Madhya Pradesh,Bhopal,2021,7,23,Rainy,National Highway,Bus,Signal Jumping,Minor Injury
Telangana,Bhopal,2018,8,22,Foggy,State Highway,Bus,Poor Road Condition,Minor Injury
Andhra Pradesh,Chennai,2022,5,2,Cloudy,State Highway,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Maharashtra,Nagpur,2022,8,6,Cloudy,National Highway,Bus,Overspeeding,Minor Injury
Andhra Pradesh,Mumbai,2020,5,19,Cloudy,National Highway,Auto Rickshaw,Overspeeding,Minor Injury
Andhra Pradesh,Ahmedabad,2018,9,17,Cloudy,National Highway,Truck,Drunk Driving,Minor Injury
Tamil Nadu,Hyderabad,2018,7,23,Clear,Rural Road,Truck,Drunk Driving,Fatal
Maharashtra,Kochi,2023,5,1,Foggy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Andhra Pradesh,Jaipur,2019,9,0,Clear,National Highway,Car,Overspeeding,Fatal
